code,codeDescription,addressCounty,addressState,patientAge,patientSex,count
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Montgomery County,VA,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Montgomery County,VA,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Montour County,PA,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Muscogee County,GA,45-64,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Muscogee County,GA,65-84,Female,10
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Muscogee County,GA,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Natchitoches Parish,LA,65-84,Male,5
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",New Hanover County,NC,45-64,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Newberry County,SC,65-84,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Newport News City County,VA,45-64,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Newport News City County,VA,45-64,Male,3
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Newport News City County,VA,65-84,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Newport News City County,VA,65-84,Male,6
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Newport News City County,VA,85+,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Okaloosa County,FL,19-44,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Okaloosa County,FL,45-64,Female,7
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Okaloosa County,FL,45-64,Male,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Okaloosa County,FL,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Okaloosa County,FL,65-84,Male,3
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Okaloosa County,FL,85+,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Orangeburg County,SC,19-44,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Orangeburg County,SC,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Orangeburg County,SC,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Ouachita Parish,LA,45-64,Female,3
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Ouachita Parish,LA,45-64,Male,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Ouachita Parish,LA,65-84,Female,3
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Ouachita Parish,LA,65-84,Male,6
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Palm Beach County,FL,45-64,Female,6
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Palm Beach County,FL,45-64,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Palm Beach County,FL,65-84,Female,5
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Palm Beach County,FL,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Pennington County,SD,19-44,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Pinellas County,FL,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Pinellas County,FL,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Pinellas County,FL,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Polk County,NC,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Polk County,NC,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Portsmouth City County,VA,45-64,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Portsmouth City County,VA,65-84,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Prince William County,VA,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Pulaski County,VA,19-44,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Rapides Parish,LA,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Rapides Parish,LA,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Richland County,SC,19-44,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Richland County,SC,45-64,Male,3
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Richland County,SC,65-84,Male,7
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Roanoke County,VA,45-64,Female,5
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Roanoke County,VA,45-64,Male,9
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Roanoke County,VA,65-84,Female,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Roanoke County,VA,65-84,Male,31
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Roanoke County,VA,85+,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Robeson County,NC,45-64,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Rowan County,NC,45-64,Male,5
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Rowan County,NC,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Rowan County,NC,65-84,Male,19
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Russell County,AL,45-64,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Russell County,AL,65-84,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Sedgwick County,KS,65-84,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Smyth County,VA,45-64,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Smyth County,VA,65-84,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Smyth County,VA,65-84,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spartanburg County,SC,19-44,Male,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spartanburg County,SC,45-64,Female,12
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spartanburg County,SC,45-64,Male,25
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spartanburg County,SC,65-84,Female,14
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spartanburg County,SC,65-84,Male,31
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spartanburg County,SC,85+,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spotsylvania County,VA,45-64,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spotsylvania County,VA,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Spotsylvania County,VA,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",St. Landry Parish,LA,65-84,Female,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",St. Landry Parish,LA,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Stafford County,VA,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Sumter County,SC,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Sumter County,SC,65-84,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Sumter County,SC,65-84,Male,5
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tallapoosa County,AL,19-44,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tallapoosa County,AL,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tallapoosa County,AL,65-84,Female,3
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tallapoosa County,AL,65-84,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tazewell County,VA,19-44,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tazewell County,VA,45-64,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tazewell County,VA,45-64,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tazewell County,VA,65-84,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Tazewell County,VA,65-84,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Washington County,VA,19-44,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Washington County,VA,45-64,Female,3
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Washington County,VA,45-64,Male,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Washington County,VA,65-84,Female,6
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Washington County,VA,65-84,Male,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Washington County,VA,85+,Female,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Wythe County,VA,65-84,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Wythe County,VA,65-84,Male,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",York County,SC,19-44,Female,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",York County,SC,45-64,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",York County,SC,45-64,Male,1
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",York County,SC,65-84,Female,2
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",York County,SC,65-84,Male,4
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",York County,SC,85+,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Aiken County,SC,45-64,Female,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Aiken County,SC,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Aiken County,SC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Allegheny County,PA,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Anderson County,SC,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Anderson County,SC,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Augusta County,VA,65-84,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Buncombe County,NC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Caddo Parish,LA,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Caddo Parish,LA,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Calhoun County,AL,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Charleston County,SC,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Charleston County,SC,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Charleston County,SC,65-84,Female,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Charleston County,SC,65-84,Male,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Cherokee County,SC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Chester County,SC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Clay County,FL,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Clay County,FL,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Clay County,FL,65-84,Male,8
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Colbert County,AL,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Cumberland County,NC,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Cumberland County,NC,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Cumberland County,NC,65-84,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",East Baton Rouge Parish,LA,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Etowah County,AL,19-44,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Etowah County,AL,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Etowah County,AL,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Etowah County,AL,65-84,Male,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Florence County,SC,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Galveston County,TX,19-44,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Gloucester County,VA,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Greenville County,SC,19-44,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Greenville County,SC,45-64,Female,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Greenville County,SC,45-64,Male,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Greenville County,SC,65-84,Female,6
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Greenville County,SC,65-84,Male,9
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Halifax County,VA,19-44,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Halifax County,VA,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Halifax County,VA,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Halifax County,VA,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Harris County,TX,19-44,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Haywood County,NC,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Henrico County,VA,45-64,Female,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Henrico County,VA,45-64,Male,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Henrico County,VA,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Henrico County,VA,65-84,Male,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Henry County,VA,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Horry County,SC,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Horry County,SC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Indian River County,FL,45-64,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Indian River County,FL,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Indian River County,FL,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",James City County,VA,65-84,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Jefferson County,AL,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Jefferson County,AL,65-84,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Lancaster County,SC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Lancaster County,SC,85+,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Lee County,AL,19-44,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Lee County,AL,45-64,Female,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Lee County,AL,45-64,Male,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Lee County,AL,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Lee County,AL,65-84,Male,6
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Madison County,AL,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Madison County,AL,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Madison County,AL,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Madison County,AL,65-84,Male,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Marion County,FL,19-44,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Montgomery County,VA,45-64,Female,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Montgomery County,VA,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Montgomery County,VA,65-84,Female,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Montgomery County,VA,65-84,Male,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Muscogee County,GA,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Muscogee County,GA,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Natchitoches Parish,LA,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Newberry County,SC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Newberry County,SC,85+,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Newport News City County,VA,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Okaloosa County,FL,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Okaloosa County,FL,65-84,Female,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Okaloosa County,FL,65-84,Male,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Okaloosa County,FL,85+,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Orangeburg County,SC,19-44,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Orangeburg County,SC,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Orangeburg County,SC,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Ouachita Parish,LA,19-44,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Ouachita Parish,LA,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Ouachita Parish,LA,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Ouachita Parish,LA,65-84,Male,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Palm Beach County,FL,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Palm Beach County,FL,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Palm Beach County,FL,65-84,Male,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Polk County,NC,45-64,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Polk County,NC,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Roanoke County,VA,14-18,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Roanoke County,VA,45-64,Female,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Roanoke County,VA,45-64,Male,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Roanoke County,VA,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Roanoke County,VA,65-84,Male,11
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Rowan County,NC,19-44,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Rowan County,NC,45-64,Female,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Rowan County,NC,65-84,Male,4
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Smyth County,VA,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Spartanburg County,SC,45-64,Female,7
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Spartanburg County,SC,45-64,Male,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Spartanburg County,SC,65-84,Female,9
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Spartanburg County,SC,65-84,Male,17
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Spartanburg County,SC,85+,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Sullivan County,TN,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Sumter County,SC,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Tallapoosa County,AL,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Tallapoosa County,AL,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Tazewell County,VA,45-64,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Tazewell County,VA,65-84,Female,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Tazewell County,VA,65-84,Male,1
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Washington County,VA,45-64,Female,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Washington County,VA,65-84,Female,2
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",York County,SC,45-64,Female,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",York County,SC,45-64,Male,5
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",York County,SC,65-84,Female,3
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",York County,SC,65-84,Male,11
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Aiken County,SC,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Aiken County,SC,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Aiken County,SC,85+,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Allegheny County,PA,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Augusta County,VA,45-64,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Augusta County,VA,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Augusta County,VA,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Buncombe County,NC,65-84,Male,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Caddo Parish,LA,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Charleston County,SC,45-64,Female,3
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Charleston County,SC,45-64,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Charleston County,SC,65-84,Female,6
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Charleston County,SC,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Charleston County,SC,85+,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Clay County,FL,45-64,Male,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Clay County,FL,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Clay County,FL,65-84,Male,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Colbert County,AL,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Etowah County,AL,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Florence County,SC,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Giles County,VA,85+,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Greenville County,SC,19-44,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Greenville County,SC,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Greenville County,SC,65-84,Male,6
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Halifax County,VA,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Halifax County,VA,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Haywood County,NC,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Henrico County,VA,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Henrico County,VA,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Henrico County,VA,85+,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Horry County,SC,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Horry County,SC,85+,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Houston County,AL,45-64,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Houston County,AL,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Indian River County,FL,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Indian River County,FL,65-84,Male,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Jackson County,NC,45-64,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Jefferson County,AL,65-84,Male,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Kanawha County,WV,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Kershaw County,SC,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Lee County,AL,45-64,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Lee County,AL,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Lee County,AL,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Lowndes County,GA,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Madison County,AL,19-44,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Madison County,AL,45-64,Female,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Madison County,AL,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Montgomery County,VA,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Montgomery County,VA,65-84,Female,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Montgomery County,VA,65-84,Male,2
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Newport News City County,VA,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Okaloosa County,FL,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Orangeburg County,SC,19-44,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Orangeburg County,SC,45-64,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Orangeburg County,SC,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Orangeburg County,SC,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Ouachita Parish,LA,45-64,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Ouachita Parish,LA,65-84,Female,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Ouachita Parish,LA,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Portsmouth City County,VA,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Randolph County,AL,65-84,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Rapides Parish,LA,19-44,Male,1
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Rapides Parish,LA,45-64,Male,1
