entryDate,code,codeDescription,fips,addressCounty,count
2018-07-26,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,51015,Augusta County,1
2018-07-27,C18,Malignant neoplasm of colon,51015,Augusta County,1
2018-07-27,C18.6,Malignant neoplasm of descending colon,51161,Roanoke County,1
2018-07-27,C18.7,Malignant neoplasm of sigmoid colon,42045,Delaware County,1
2018-07-27,C18.7,Malignant neoplasm of sigmoid colon,48029,Bexar County,1
2018-07-27,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,21111,Jefferson County,1
2018-07-27,C43,Malignant melanoma of skin,51121,Montgomery County,1
2018-07-27,C50.112,Malignant neoplasm of central portion of left female breast,47163,Sullivan County,1
2018-07-27,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,42045,Delaware County,1
2018-07-27,C50.511,Malignant neoplasm of lower-outer quadrant of right female breast,42045,Delaware County,1
2018-07-27,C50.521,Malignant neoplasm of lower-outer quadrant of right male breast,48029,Bexar County,1
2018-07-27,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",26065,Ingham County,1
2018-07-28,C18.4,Malignant neoplasm of transverse colon,26049,Genesee County,1
2018-07-28,C18.6,Malignant neoplasm of descending colon,26049,Genesee County,1
2018-07-28,C25.9,"Malignant neoplasm of pancreas, unspecified",26049,Genesee County,1
2018-07-28,C43,Malignant melanoma of skin,26049,Genesee County,1
2018-07-29,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",51087,Henrico County,1
2018-07-29,C43.0,Malignant melanoma of lip,12103,Pinellas County,1
2018-07-29,C43.2,Malignant melanoma of ear and external auricular canal,1017,Chambers County,1
2018-07-30,C18.9,"Malignant neoplasm of colon, unspecified",39049,Franklin County,1
2018-07-30,C18.9,"Malignant neoplasm of colon, unspecified",51590,Danville City County,1
2018-07-30,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,37149,Polk County,1
2018-07-30,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,21111,Jefferson County,1
2018-07-30,C50,Malignant neoplasm of breast,45083,Spartanburg County,1
2018-07-30,C61,Malignant neoplasm of prostate,51087,Henrico County,1
2018-07-30,C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",51590,Danville City County,1
2018-07-31,C50,Malignant neoplasm of breast,1089,Madison County,1
2018-07-31,C50.11,"Malignant neoplasm of central portion of breast, female",45075,Orangeburg County,1
2018-07-31,C50.119,Malignant neoplasm of central portion of unspecified female breast,45083,Spartanburg County,1
2018-07-31,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,1089,Madison County,1
2018-07-31,C50.219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,45045,Greenville County,1
2018-07-31,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2018-07-31,C61,Malignant neoplasm of prostate,54039,Kanawha County,2
2018-07-31,C73,Malignant neoplasm of thyroid gland,45083,Spartanburg County,1
2018-08-01,C18,Malignant neoplasm of colon,13185,Lowndes County,1
2018-08-01,C18.9,"Malignant neoplasm of colon, unspecified",12091,Okaloosa County,1
2018-08-01,C18.9,"Malignant neoplasm of colon, unspecified",51161,Roanoke County,1
2018-08-01,C25.0,Malignant neoplasm of head of pancreas,51161,Roanoke County,1
2018-08-01,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,45083,Spartanburg County,1
2018-08-01,C43,Malignant melanoma of skin,51590,Danville City County,1
2018-08-01,C64,"Malignant neoplasm of kidney, except renal pelvis",54039,Kanawha County,2
2018-08-01,C91.Z,Other lymphoid leukemia,51191,Washington County,1
2018-08-02,C18.0,Malignant neoplasm of cecum,45019,Charleston County,1
2018-08-02,C18.2,Malignant neoplasm of ascending colon,51700,Newport News City County,2
2018-08-02,C18.4,Malignant neoplasm of transverse colon,48113,Dallas County,1
2018-08-02,C18.6,Malignant neoplasm of descending colon,48113,Dallas County,1
2018-08-02,C18.7,Malignant neoplasm of sigmoid colon,51700,Newport News City County,1
2018-08-02,C18.9,"Malignant neoplasm of colon, unspecified",45083,Spartanburg County,1
2018-08-02,C18.9,"Malignant neoplasm of colon, unspecified",51161,Roanoke County,1
2018-08-02,C25.2,Malignant neoplasm of tail of pancreas,48439,Tarrant County,1
2018-08-02,C34,Malignant neoplasm of bronchus and lung,51590,Danville City County,1
2018-08-02,C43.59,Malignant melanoma of other part of trunk,45019,Charleston County,1
2018-08-02,C50,Malignant neoplasm of breast,48439,Tarrant County,1
2018-08-02,C50.119,Malignant neoplasm of central portion of unspecified female breast,51700,Newport News City County,1
2018-08-02,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,45045,Greenville County,1
2018-08-02,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,45019,Charleston County,1
2018-08-02,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,51700,Newport News City County,1
2018-08-02,C50.511,Malignant neoplasm of lower-outer quadrant of right female breast,51700,Newport News City County,1
2018-08-02,C50.512,Malignant neoplasm of lower-outer quadrant of left female breast,51700,Newport News City County,3
2018-08-02,C50.912,Malignant neoplasm of unspecified site of left female breast,45045,Greenville County,1
2018-08-02,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,26163,Wayne County,1
2018-08-02,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2018-08-02,C61,Malignant neoplasm of prostate,51087,Henrico County,1
2018-08-02,C61,Malignant neoplasm of prostate,51700,Newport News City County,4
2018-08-02,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",51087,Henrico County,1
2018-08-02,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",45083,Spartanburg County,1
2018-08-02,C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",45019,Charleston County,1
2018-08-02,C67.0,Malignant neoplasm of trigone of bladder,51700,Newport News City County,1
2018-08-02,C67.9,"Malignant neoplasm of bladder, unspecified",51087,Henrico County,1
2018-08-02,C91.0,Acute lymphoblastic leukemia [ALL],45019,Charleston County,1
2018-08-02,C91.0,Acute lymphoblastic leukemia [ALL],51087,Henrico County,1
2018-08-02,C91.1,Chronic lymphocytic leukemia of B-cell type,45019,Charleston County,1
2018-08-02,C92.0,Acute myeloblastic leukemia,45019,Charleston County,2
2018-08-02,C92.01,"Acute myeloblastic leukemia, in remission",37051,Cumberland County,1
2018-08-02,C92.12,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",51700,Newport News City County,1
2018-08-03,C18.6,Malignant neoplasm of descending colon,51700,Newport News City County,1
2018-08-03,C18.7,Malignant neoplasm of sigmoid colon,51700,Newport News City County,1
2018-08-03,C25.9,"Malignant neoplasm of pancreas, unspecified",55079,Milwaukee County,1
2018-08-03,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51700,Newport News City County,1
2018-08-03,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,51161,Roanoke County,1
2018-08-03,C43,Malignant melanoma of skin,45071,Newberry County,1
2018-08-03,C43,Malignant melanoma of skin,45083,Spartanburg County,1
2018-08-03,C50.112,Malignant neoplasm of central portion of left female breast,51700,Newport News City County,1
2018-08-03,C50.212,Malignant neoplasm of upper-inner quadrant of left female breast,51700,Newport News City County,1
2018-08-03,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51700,Newport News City County,3
2018-08-03,C50.512,Malignant neoplasm of lower-outer quadrant of left female breast,51700,Newport News City County,1
2018-08-03,C50.811,Malignant neoplasm of overlapping sites of right female breast,51700,Newport News City County,1
2018-08-03,C50.812,Malignant neoplasm of overlapping sites of left female breast,51700,Newport News City County,1
2018-08-03,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51023,Botetourt County,1
2018-08-03,C54.1,Malignant neoplasm of endometrium,55079,Milwaukee County,1
2018-08-03,C61,Malignant neoplasm of prostate,51191,Washington County,1
2018-08-03,C61,Malignant neoplasm of prostate,51700,Newport News City County,1
2018-08-03,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",51700,Newport News City County,1
2018-08-03,C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",37021,Buncombe County,1
2018-08-03,C67.9,"Malignant neoplasm of bladder, unspecified",45019,Charleston County,1
2018-08-03,C73,Malignant neoplasm of thyroid gland,45019,Charleston County,1
2018-08-03,C91.11,Chronic lymphocytic leukemia of B-cell type in remission,51700,Newport News City County,1
2018-08-03,C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",1123,Tallapoosa County,1
2018-08-04,C18.0,Malignant neoplasm of cecum,48113,Dallas County,1
2018-08-04,C18.9,"Malignant neoplasm of colon, unspecified",45003,Aiken County,1
2018-08-04,C18.9,"Malignant neoplasm of colon, unspecified",45075,Orangeburg County,1
2018-08-04,C25.9,"Malignant neoplasm of pancreas, unspecified",51087,Henrico County,1
2018-08-04,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,51161,Roanoke County,1
2018-08-04,C43.39,Malignant melanoma of other parts of face,45085,Sumter County,1
2018-08-05,C18,Malignant neoplasm of colon,26065,Ingham County,1
2018-08-05,C18.9,"Malignant neoplasm of colon, unspecified",51191,Washington County,1
2018-08-05,C25.0,Malignant neoplasm of head of pancreas,45045,Greenville County,2
2018-08-05,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,1055,Etowah County,1
2018-08-05,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,26065,Ingham County,2
2018-08-05,C50.4,Malignant neoplasm of upper-outer quadrant of breast,45045,Greenville County,1
2018-08-05,C50.911,Malignant neoplasm of unspecified site of right female breast,51191,Washington County,1
2018-08-05,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,37021,Buncombe County,1
2018-08-05,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,45051,Horry County,1
2018-08-05,C92.51,"Acute myelomonocytic leukemia, in remission",47037,Davidson County,1
2018-08-06,C18,Malignant neoplasm of colon,51155,Pulaski County,1
2018-08-06,C18.2,Malignant neoplasm of ascending colon,26163,Wayne County,1
2018-08-06,C25.0,Malignant neoplasm of head of pancreas,1073,Jefferson County,1
2018-08-06,C25.0,Malignant neoplasm of head of pancreas,12099,Palm Beach County,1
2018-08-06,C25.9,"Malignant neoplasm of pancreas, unspecified",45007,Anderson County,1
2018-08-06,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",51173,Smyth County,1
2018-08-06,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,45023,Chester County,1
2018-08-06,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,26163,Wayne County,1
2018-08-06,C43,Malignant melanoma of skin,12099,Palm Beach County,1
2018-08-06,C50.112,Malignant neoplasm of central portion of left female breast,45003,Aiken County,1
2018-08-06,C50.112,Malignant neoplasm of central portion of left female breast,45083,Spartanburg County,1
2018-08-06,C50.112,Malignant neoplasm of central portion of left female breast,51073,Gloucester County,1
2018-08-06,C50.322,Malignant neoplasm of lower-inner quadrant of left male breast,51073,Gloucester County,1
2018-08-06,C50.9,Malignant neoplasm of breast of unspecified site,45083,Spartanburg County,1
2018-08-06,C50.911,Malignant neoplasm of unspecified site of right female breast,45083,Spartanburg County,1
2018-08-06,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51087,Henrico County,1
2018-08-06,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51161,Roanoke County,1
2018-08-06,C54.1,Malignant neoplasm of endometrium,47163,Sullivan County,1
2018-08-06,C61,Malignant neoplasm of prostate,45003,Aiken County,1
2018-08-06,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",51087,Henrico County,1
2018-08-06,C67,Malignant neoplasm of bladder,45023,Chester County,1
2018-08-06,C73,Malignant neoplasm of thyroid gland,45083,Spartanburg County,1
2018-08-06,C91,Lymphoid leukemia,45019,Charleston County,1
2018-08-06,C92.1,"Chronic myeloid leukemia, BCR/ABL-positive",45019,Charleston County,1
2018-08-06,C92.52,"Acute myelomonocytic leukemia, in relapse",45019,Charleston County,1
2018-08-06,C93.1,Chronic myelomonocytic leukemia,45019,Charleston County,1
2018-08-07,C18,Malignant neoplasm of colon,12099,Palm Beach County,2
2018-08-07,C18,Malignant neoplasm of colon,45045,Greenville County,2
2018-08-07,C18.7,Malignant neoplasm of sigmoid colon,48439,Tarrant County,1
2018-08-07,C25.0,Malignant neoplasm of head of pancreas,12099,Palm Beach County,1
2018-08-07,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51161,Roanoke County,1
2018-08-07,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,1081,Lee County,1
2018-08-07,C43,Malignant melanoma of skin,45083,Spartanburg County,1
2018-08-07,C50.219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,45091,York County,1
2018-08-07,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,51015,Augusta County,1
2018-08-07,C50.419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,45045,Greenville County,1
2018-08-07,C50.912,Malignant neoplasm of unspecified site of left female breast,1055,Etowah County,1
2018-08-07,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51005,Alleghany County,1
2018-08-07,C67.3,Malignant neoplasm of anterior wall of bladder,51191,Washington County,1
2018-08-07,C85.89,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",45045,Greenville County,1
2018-08-07,C92.00,"Acute myeloblastic leukemia, not having achieved remission",45045,Greenville County,1
2018-08-08,C18.2,Malignant neoplasm of ascending colon,12099,Palm Beach County,1
2018-08-08,C18.4,Malignant neoplasm of transverse colon,12099,Palm Beach County,1
2018-08-08,C18.9,"Malignant neoplasm of colon, unspecified",45045,Greenville County,2
2018-08-08,C18.9,"Malignant neoplasm of colon, unspecified",51155,Pulaski County,1
2018-08-08,C25.9,"Malignant neoplasm of pancreas, unspecified",45045,Greenville County,1
2018-08-08,C25.9,"Malignant neoplasm of pancreas, unspecified",51015,Augusta County,1
2018-08-08,C34,Malignant neoplasm of bronchus and lung,45007,Anderson County,1
2018-08-08,C34.0,Malignant neoplasm of main bronchus,51161,Roanoke County,1
2018-08-08,C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",51083,Halifax County,1
2018-08-08,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",1055,Etowah County,1
2018-08-08,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",45045,Greenville County,1
2018-08-08,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,12091,Okaloosa County,1
2018-08-08,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,37021,Buncombe County,1
2018-08-08,C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,12091,Okaloosa County,2
2018-08-08,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,12091,Okaloosa County,1
2018-08-08,C43,Malignant melanoma of skin,26163,Wayne County,1
2018-08-08,C50.111,Malignant neoplasm of central portion of right female breast,51700,Newport News City County,1
2018-08-08,C50.212,Malignant neoplasm of upper-inner quadrant of left female breast,51015,Augusta County,1
2018-08-08,C61,Malignant neoplasm of prostate,45003,Aiken County,1
2018-08-08,C61,Malignant neoplasm of prostate,45019,Charleston County,1
2018-08-08,C61,Malignant neoplasm of prostate,51015,Augusta County,1
2018-08-08,C64.2,"Malignant neoplasm of left kidney, except renal pelvis",51015,Augusta County,1
2018-08-08,C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",1081,Lee County,1
2018-08-08,C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",45045,Greenville County,1
2018-08-08,C85.29,"Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites",45045,Greenville County,1
2018-08-08,C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site",12091,Okaloosa County,1
2018-08-08,C85.91,"Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",1089,Madison County,1
2018-08-08,C92.00,"Acute myeloblastic leukemia, not having achieved remission",45045,Greenville County,3
2018-08-08,C92.01,"Acute myeloblastic leukemia, in remission",45045,Greenville County,1
2018-08-08,C92.1,"Chronic myeloid leukemia, BCR/ABL-positive",45045,Greenville County,1
2018-08-09,C18,Malignant neoplasm of colon,45083,Spartanburg County,1
2018-08-09,C18.2,Malignant neoplasm of ascending colon,12099,Palm Beach County,1
2018-08-09,C18.3,Malignant neoplasm of hepatic flexure,51177,Spotsylvania County,1
2018-08-09,C18.6,Malignant neoplasm of descending colon,45019,Charleston County,1
2018-08-09,C18.7,Malignant neoplasm of sigmoid colon,48113,Dallas County,1
2018-08-09,C18.8,Malignant neoplasm of overlapping sites of colon,12099,Palm Beach County,1
2018-08-09,C18.9,"Malignant neoplasm of colon, unspecified",45075,Orangeburg County,1
2018-08-09,C18.9,"Malignant neoplasm of colon, unspecified",48113,Dallas County,1
2018-08-09,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",12103,Pinellas County,1
2018-08-09,C34.9,Malignant neoplasm of unspecified part of bronchus or lung,48167,Galveston County,1
2018-08-09,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,45083,Spartanburg County,2
2018-08-09,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51015,Augusta County,1
2018-08-09,C43.5,Malignant melanoma of trunk,1055,Etowah County,1
2018-08-09,C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast",45019,Charleston County,1
2018-08-09,C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast",51590,Danville City County,1
2018-08-09,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,1089,Madison County,1
2018-08-09,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51121,Montgomery County,1
2018-08-09,C54.1,Malignant neoplasm of endometrium,45019,Charleston County,2
2018-08-09,C61,Malignant neoplasm of prostate,45091,York County,1
2018-08-09,C61,Malignant neoplasm of prostate,51089,Henry County,1
2018-08-09,C67.1,Malignant neoplasm of dome of bladder,51073,Gloucester County,1
2018-08-09,C67.2,Malignant neoplasm of lateral wall of bladder,51087,Henrico County,1
2018-08-09,C73,Malignant neoplasm of thyroid gland,42077,Lehigh County,1
2018-08-09,C73,Malignant neoplasm of thyroid gland,45019,Charleston County,1
2018-08-09,C91.0,Acute lymphoblastic leukemia [ALL],45019,Charleston County,1
2018-08-09,C92.0,Acute myeloblastic leukemia,45019,Charleston County,2
2018-08-09,C92.0,Acute myeloblastic leukemia,51121,Montgomery County,1
2018-08-09,C92.31,"Myeloid sarcoma, in remission",12099,Palm Beach County,1
2018-08-09,C93.1,Chronic myelomonocytic leukemia,45019,Charleston County,1
2018-08-10,C18,Malignant neoplasm of colon,45045,Greenville County,2
2018-08-10,C18.0,Malignant neoplasm of cecum,45045,Greenville County,1
2018-08-10,C18.7,Malignant neoplasm of sigmoid colon,1081,Lee County,1
2018-08-10,C18.9,"Malignant neoplasm of colon, unspecified",48113,Dallas County,1
2018-08-10,C25.0,Malignant neoplasm of head of pancreas,45045,Greenville County,2
2018-08-10,C25.9,"Malignant neoplasm of pancreas, unspecified",45045,Greenville County,1
2018-08-10,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",45045,Greenville County,1
2018-08-10,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,45023,Chester County,1
2018-08-10,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,45045,Greenville County,1
2018-08-10,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,39035,Cuyahoga County,1
2018-08-10,C43,Malignant melanoma of skin,45045,Greenville County,2
2018-08-10,C50.112,Malignant neoplasm of central portion of left female breast,45045,Greenville County,2
2018-08-10,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,1081,Lee County,1
2018-08-10,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,45045,Greenville County,1
2018-08-10,C50.419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,1055,Etowah County,1
2018-08-10,C50.812,Malignant neoplasm of overlapping sites of left female breast,1123,Tallapoosa County,1
2018-08-10,C61,Malignant neoplasm of prostate,51071,Giles County,1
2018-08-10,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",45045,Greenville County,1
2018-08-10,C91.1,Chronic lymphocytic leukemia of B-cell type,37051,Cumberland County,1
2018-08-10,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,45003,Aiken County,1
2018-08-10,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,45045,Greenville County,1
2018-08-11,C18,Malignant neoplasm of colon,45045,Greenville County,1
2018-08-11,C18,Malignant neoplasm of colon,47035,Cumberland County,1
2018-08-11,C18.9,"Malignant neoplasm of colon, unspecified",51161,Roanoke County,1
2018-08-11,C34,Malignant neoplasm of bronchus and lung,45045,Greenville County,1
2018-08-11,C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",45045,Greenville County,1
2018-08-11,C34.9,Malignant neoplasm of unspecified part of bronchus or lung,51191,Washington County,1
2018-08-11,C50.3,Malignant neoplasm of lower-inner quadrant of breast,47035,Cumberland County,1
2018-08-11,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,47035,Cumberland County,1
2018-08-11,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51191,Washington County,1
2018-08-11,C61,Malignant neoplasm of prostate,45075,Orangeburg County,1
2018-08-11,C61,Malignant neoplasm of prostate,51005,Alleghany County,1
2018-08-11,C67.9,"Malignant neoplasm of bladder, unspecified",51005,Alleghany County,1
2018-08-11,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,45045,Greenville County,1
2018-08-12,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",45003,Aiken County,1
2018-08-12,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,45003,Aiken County,1
2018-08-12,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51161,Roanoke County,1
2018-08-12,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,45003,Aiken County,1
2018-08-12,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,51083,Halifax County,1
2018-08-12,C43,Malignant melanoma of skin,51161,Roanoke County,1
2018-08-12,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,45051,Horry County,1
2018-08-12,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,1089,Madison County,1
2018-08-12,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,45051,Horry County,1
2018-08-12,C50.911,Malignant neoplasm of unspecified site of right female breast,1081,Lee County,1
2018-08-12,C50.921,Malignant neoplasm of unspecified site of right male breast,1031,Coffee County,1
2018-08-12,C91.4,Hairy cell leukemia,45083,Spartanburg County,1
2018-08-13,C18.2,Malignant neoplasm of ascending colon,45045,Greenville County,1
2018-08-13,C18.5,Malignant neoplasm of splenic flexure,45071,Newberry County,1
2018-08-13,C18.7,Malignant neoplasm of sigmoid colon,45071,Newberry County,1
2018-08-13,C18.9,"Malignant neoplasm of colon, unspecified",45045,Greenville County,1
2018-08-13,C18.9,"Malignant neoplasm of colon, unspecified",51005,Alleghany County,1
2018-08-13,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",45071,Newberry County,1
2018-08-13,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51191,Washington County,1
2018-08-13,C43,Malignant melanoma of skin,51015,Augusta County,1
2018-08-13,C43.4,Malignant melanoma of scalp and neck,45045,Greenville County,1
2018-08-13,C50.019,"Malignant neoplasm of nipple and areola, unspecified female breast",51117,Mecklenburg County,1
2018-08-13,C50.111,Malignant neoplasm of central portion of right female breast,1055,Etowah County,1
2018-08-13,C50.211,Malignant neoplasm of upper-inner quadrant of right female breast,51117,Mecklenburg County,1
2018-08-13,C50.212,Malignant neoplasm of upper-inner quadrant of left female breast,45045,Greenville County,1
2018-08-13,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,1089,Madison County,1
2018-08-13,C50.912,Malignant neoplasm of unspecified site of left female breast,26081,Kent County,2
2018-08-13,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51015,Augusta County,1
2018-08-13,C54.1,Malignant neoplasm of endometrium,37119,Mecklenburg County,1
2018-08-13,C61,Malignant neoplasm of prostate,1055,Etowah County,1
2018-08-13,C73,Malignant neoplasm of thyroid gland,51015,Augusta County,1
2018-08-14,C18,Malignant neoplasm of colon,12099,Palm Beach County,1
2018-08-14,C18,Malignant neoplasm of colon,51015,Augusta County,3
2018-08-14,C18.9,"Malignant neoplasm of colon, unspecified",45045,Greenville County,1
2018-08-14,C18.9,"Malignant neoplasm of colon, unspecified",45051,Horry County,1
2018-08-14,C25.0,Malignant neoplasm of head of pancreas,1073,Jefferson County,1
2018-08-14,C25.9,"Malignant neoplasm of pancreas, unspecified",51083,Halifax County,1
2018-08-14,C25.9,"Malignant neoplasm of pancreas, unspecified",51161,Roanoke County,1
2018-08-14,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",12099,Palm Beach County,1
2018-08-14,C43,Malignant melanoma of skin,1081,Lee County,1
2018-08-14,C50,Malignant neoplasm of breast,26081,Kent County,1
2018-08-14,C50.112,Malignant neoplasm of central portion of left female breast,45083,Spartanburg County,1
2018-08-14,C50.4,Malignant neoplasm of upper-outer quadrant of breast,45075,Orangeburg County,1
2018-08-14,C50.412,Malignant neoplasm of upper-outer quadrant of left female breast,51590,Danville City County,1
2018-08-14,C50.912,Malignant neoplasm of unspecified site of left female breast,51121,Montgomery County,1
2018-08-14,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,37139,Pasquotank County,1
2018-08-14,C54.1,Malignant neoplasm of endometrium,51015,Augusta County,1
2018-08-14,C64.1,"Malignant neoplasm of right kidney, except renal pelvis",51173,Smyth County,1
2018-08-14,C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",1073,Jefferson County,1
2018-08-14,C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",1081,Lee County,1
2018-08-14,C85.10,"Unspecified B-cell lymphoma, unspecified site",1081,Lee County,1
2018-08-14,C91.9,"Lymphoid leukemia, unspecified",51161,Roanoke County,1
2018-08-14,C92.00,"Acute myeloblastic leukemia, not having achieved remission",45045,Greenville County,1
2018-08-14,C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",45083,Spartanburg County,1
2018-08-14,C92.A0,"Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",51161,Roanoke County,1
2018-08-15,C18,Malignant neoplasm of colon,45045,Greenville County,1
2018-08-15,C18.1,Malignant neoplasm of appendix,45045,Greenville County,1
2018-08-15,C18.7,Malignant neoplasm of sigmoid colon,1055,Etowah County,1
2018-08-15,C18.7,Malignant neoplasm of sigmoid colon,1081,Lee County,1
2018-08-15,C18.7,Malignant neoplasm of sigmoid colon,1089,Madison County,1
2018-08-15,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,1073,Jefferson County,1
2018-08-15,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51121,Montgomery County,1
2018-08-15,C43.9,"Malignant melanoma of skin, unspecified",45091,York County,1
2018-08-15,C50.4,Malignant neoplasm of upper-outer quadrant of breast,1055,Etowah County,1
2018-08-15,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,45045,Greenville County,1
2018-08-15,C50.912,Malignant neoplasm of unspecified site of left female breast,1055,Etowah County,1
2018-08-15,C50.912,Malignant neoplasm of unspecified site of left female breast,51177,Spotsylvania County,1
2018-08-15,C54.1,Malignant neoplasm of endometrium,47163,Sullivan County,1
2018-08-15,C61,Malignant neoplasm of prostate,37159,Rowan County,1
2018-08-15,C67.6,Malignant neoplasm of ureteric orifice,51087,Henrico County,1
2018-08-15,C91.0,Acute lymphoblastic leukemia [ALL],21067,Fayette County,4
2018-08-15,C91.02,"Acute lymphoblastic leukemia, in relapse",21067,Fayette County,1
