,type,Hospital Name,CMS Certification Number,Beds,ADDRESS,CITY,STATE,ZIP,Telephone,rural ,mua,X,Y,size
148,Chemotherapy Only,Shepherd Center,112003.0,135,2020 Peachtree Road Northwest,Atlanta,GA,30309,0,No,No,-84.3928940615,33.8099883328,5
149,Cancer Treatment Center,SKIN CANCER & COSMETIC DERMATOLOGY CENTER,,,"101 RIVERSTONE VISTA, SUITE 215",BLUE RIDGE,GA,30513,7062296750,Yes,Yes,-84.3022846823,34.877516909,5
150,Cancer Treatment Center,SKIN CANCER & COSMETIC DERMATOLOGY CTR,,,"1107 MEMORIAL DRIVE, SUITE 201",DALTON,GA,30720,7062777310,No,No,-84.9832109664,34.7888784505,5
151,Cancer Treatment Center,SKIN CANCER AND COSMETIC DERMATOLOGY CENTER,,,"4700 BATTLEFIELD PARKWAY, SUITE 340",RINGGOLD,GA,30736,7062296750,No,Yes,-85.1863349067,34.9326427164,5
152,Cancer Treatment Center,SKIN CANCER AND COSMETIC DERMATOLOGY CENTER INC,,,"10 MEDICAL DRIVE, NE",ROME,GA,30161,7063782240,No,Yes,-85.1466865768,34.290920186,5
153,Cancer Treatment Center,SKIN CANCER AND COSMETIC DERMATOLOGY CENTER INC,,,400 TIMMS ROAD,CALHOUN,GA,30701,7066253910,Yes,Yes,-84.9252786883,34.5133883853,5
154,Cancer Treatment Center,SKIN CANCER CENTER OF NORTH GEORGIA,,,405 FANNIN INDUSTRIAL PARK,BLUE RIDGE,GA,30513,3528123690,Yes,Yes,-84.3106131928,34.8852542438,5
155,Cancer Treatment Center,SKIN CANCER SPECIALISTS PC - CARTERSVILLE (DBA),,,10 CLOVERLEAF DRIVE,CARTERSVILLE,GA,30120,7704225560,Yes,Yes,-84.7961107105,34.1972194771,5
156,Cancer Treatment Center,"SKIN CANCER SPECIALISTS, PC",,,"1790 MULKEY RD, SUITE 1",AUSTELL,GA,30106,7709411010,No,No,-84.6055492315,33.8600278757,5
157,Chemo and Radiology,Southeast Georgia Health System - Brunswick Campus,110025.0,300,2415 Parkwood Drive,Brunswick,GA,31520,0,No,Yes,-81.4846523579,31.1738310853,5
158,Chemo and Radiology,Southeast Georgia Health System - Camden Campus,110146.0,40,2000 Dan Proctor Drive,Saint Marys,GA,31558,0,Yes,Yes,-81.6147758726,30.7813353095,5
159,Chemo and Radiology,Tanner Medical Center Carrollton,110011.0,196,705 Dixie Street,Carrollton,GA,30117,0,Yes,Yes,-85.0725487271,33.5696129517,5
160,Chemotherapy Only,Tanner Medical Center/Villa Rica,110015.0,140,601 Dallas Highway,Villa Rica,GA,30180,0,No,Yes,-84.916029761,33.744128283,5
161,Chemo and Radiology,Tift Regional Medical Center,110095.0,181,901 East 18th Street,Tifton,GA,31794,0,Yes,Yes,-83.4915145875,31.4704694047,5
162,Chemotherapy Only,Union General Hospital,110051.0,189,35 Hospital Way,Blairsville,GA,30512,0,Yes,Yes,-83.9617042355,34.8852886934,5
163,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC - BLDG 800",,,"3320 OLD JEFFERSON ROAD, BLDG 800",ATHENS,GA,30607,7063532990,No,Yes,-83.4175779873,33.9840660868,5
164,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC - COVINGTON",,,4182 HWY 278 NE,COVINGTON,GA,30014,7063532990,No,Yes,-83.8504160307,33.6028982017,5
165,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC - EATONTON",,,"119 HARMONY CROSSING, SUITE 1",EATONTON,GA,31024,7063532990,Yes,Yes,-83.2691132758,33.4245955913,5
166,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC - MONROE",,,"2151 - B WEST SPRING STREET, SUITE 200",MONROE,GA,30655,7063532990,Yes,Yes,-83.7478797062,33.8001559832,5
167,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC - WINDER",,,295 N BROAD STREET,WINDER,GA,30680,7063532990,No,No,-83.7066844961,34.0051844176,5
168,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC-COMMERCE",,,110 MERCER PLACE,COMMERCE,GA,30529,7063532990,Yes,No,-83.4536971168,34.2323614863,5
169,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC-LAVONIA",,,"355 CLEAR CREEK PARKWAY, SUITE 2007",LAVONIA,GA,30553,7063532990,Yes,Yes,-83.1320769465,34.4398410628,5
170,Cancer Treatment Center,"UNIVERSITY CANCER & BLOOD CENTER, LLC-SNELLVILLE",,,"3991 HWY78, SUITE 102",SNELLVILLE,GA,30039,7063532990,No,No,-84.0683114827,33.8382133859,5
171,Cancer Treatment Center,"UNIVERSITY CANCER AND BLOOD CENTER, LLC - TOCCOA",,,"1656 FALLS ROAD, SUITE B",TOCCOA,GA,30577,7063532990,Yes,No,-83.3491954037,34.5987689656,5
172,Chemotherapy Only,Wayne Memorial Hospital,110124.0,88,865 South First Street,Jesup,GA,31545,0,Yes,Yes,-81.8995678806,31.6031012878,5
173,Chemo and Radiology,WellStar Cobb Hospital,110143.0,387,3950 Austell Road Southwest,Austell,GA,30106,0,No,No,-84.6021830591,33.8557368023,5
174,Chemotherapy Only,WellStar Douglas Medical Center,110184.0,112,8954 Hospital Drive,Douglasville,GA,30134,0,No,No,-84.7329655591,33.7393136759,5
175,Radiology Only,Wellstar Kennestone Regional Medical Center,110035.0,662,677 Church Street,Marietta,GA,30060,0,No,No,-84.5503114837,33.9688733844,5
176,Chemo and Radiology,Wellstar MCG Health Medical Center,110034.0,494,1120 15th Street,Augusta,GA,30912,0,No,Yes,-81.9904365959,33.4706529758,5
177,Chemotherapy Only,WellStar North Fulton Medical Center,110198.0,211,3000 Hospital Boulevard,Roswell,GA,30076,0,No,No,-84.3204769326,34.0623106081,5
178,Chemo and Radiology,WellStar Paulding Medical Center,110042.0,294,2518 Jimmy Lee Smith Parkway,Hiram,GA,30141,0,No,No,-84.7810974646,33.902395253,5
179,Chemo and Radiology,WellStar West Georgia Medical Center,110016.0,426,1514 Vernon Road,LaGrange,GA,30240,0,Yes,No,-85.0555303623,33.0322813257,5
180,Cancer Treatment Center,WINSHIP CANCER INSTITUTE EMORY MIDTOWN WEM LAB,,,"580 PEACHTREE STREET, NE",ATLANTA,GA,30308,4047127400,No,Yes,-84.3852010669,33.7702939863,5
181,Cancer Treatment Center,ABSOLUTE DERMATOLOGY & SKIN CANCER CENTER,,,"7300 ASHLAKE PARKWAY, STE 102",CHESTERFIELD,VA,23832,8043264448,No,No,-81.9731208412,36.696281562,5
182,Cancer Treatment Center,AUGUSTA CANCER DIAGNOSTICS,,,16 IVY RIDGE LANE - SUITE 138,FISHERSVILLE,VA,22939,5405692942,Yes,Yes,-81.9728747,36.6758041,5
183,Chemo and Radiology,Augusta Health & Cancer Center,490018.0,226,78 MEDICAL CENTER DRIVE,Fishersville,VA,22939,(540) 332-4000,Yes,Yes,-77.1389490446,38.7733196415,5
184,Cancer Treatment Center,BLUE RIDGE CANCER CARE - BEDFORD,,,1710 WHITFIELD DRIVE,BEDFORD,VA,24523,5405865770,Yes,Yes,-77.1044766238,38.8241102448,5
185,Cancer Treatment Center,BLUE RIDGE CANCER CARE - BLACKSBURG,,,2600 RESEARCH CENTER DRIVE - SUITE A,BLACKSBURG,VA,24060,5403815291,No,No,-77.0751237856,38.7406340329,5
186,Cancer Treatment Center,BLUE RIDGE CANCER CARE - MARION,,,1020 TERRACE DRIVE - SUITE 202,MARION,VA,24354,5409820237,Yes,No,-77.1212525,38.8336529577,5
187,Cancer Treatment Center,BLUE RIDGE CANCER CARE-LEXINGTON,,,108 HOUSTON STREET,LEXINGTON,VA,24450,5404643226,Yes,Yes,-77.1287178421,38.8894767262,5
188,Radiology Only,Bon Secours - Southside Medical Center,490067.0,300,200 Medical Park Blvd,Petersburg,VA,23805,(804) 765-5000,No,Yes,-77.1287178421,38.8894767262,5
189,Chemo and Radiology,Bon Secours Maryview Medical Center,490017.0,178,3636 High Street,Portsmouth,VA,23707,(757) 398-2200,No,Yes,-79.5183426139,37.3525780427,5
190,Cancer Treatment Center,BRAUN DERMATOLOGY & SKIN CANCER CENTER,,,"5911 KINGSTOWNE VILLAGE PARKWAY, SUITE 100",ALEXANDRIA,VA,22315,5714492555,No,No,-82.7544295521,36.8774412698,5
191,Cancer Treatment Center,CANCER CENTER OF SOUTHWEST VIRGINIA,,,1114 EAST MAIN STREET,LEBANON,VA,24266,2768894941,Yes,Yes,-80.4040275609,37.1954398636,5
192,Cancer Treatment Center,CANCER CENTER OF SOUTHWEST VIRGINIA,,,6719 GOV G C PEERY HIGHWAY,RICHLANDS,VA,24641,2769632535,Yes,Yes,-80.4085589854,37.1857563766,5
193,Cancer Treatment Center,"CANCER CENTER OF THE PIEDMONT, INC",,,173 EXECUTIVE DRIVE,DANVILLE,VA,24541,4347920123,No,Yes,-78.4991600171,38.0321648987,5
194,Cancer Treatment Center,CANCER OUTREACH ASSOCIATES,,,6719 GOVERNOR G C PEERY HIGHWAY - SUTIE 1200,RICHLANDS,VA,24641,2769632535,Yes,Yes,-78.4711492893,38.0320509048,5
195,Cancer Treatment Center,CANCER OUTREACH ASSOCIATES PC,,,104 ABINGDON PLACE,ABINGDON,VA,24211,2766761860,Yes,Yes,-78.4438078564,38.0245853113,5
196,Chemotherapy Only,Carilion Franklin Memorial Hospital,490089.0,37,390 South Main St,Rocky Mount,VA,24151,(540) 483-5277,Yes,Yes,-78.4413372066,38.0214933949,5
197,Chemotherapy Only,Carilion New River Valley Medical Center,490042.0,130,2900 Lamb Circle,Christiansburg,VA,24073,(540) 731-2000,No,No,-78.4982330624,38.0317041874,5
198,Chemo and Radiology,Carilion Roanoke Memorial Hospital,490024.0,719,1906 Belleview Ave SE,Roanoke,VA,24014,(540) 981-7000,No,No,-76.2454421894,36.7454254566,5
199,Cancer Treatment Center,CENTER FOR HEALTH AND CANCER PREVENTION,,,1301 FIRST COLONIAL ROAD - SUITE 201,VIRGINIA BEACH,VA,23454,7574124919,No,No,-76.2455297803,36.7433152705,5
200,Chemo and Radiology,Centra Lynchburg General Hospital,490021.0,517,1901 Tat Springs Road,Lynchburg,VA,24501,(434) 200-3000,No,No,-77.6801085182,37.4014976376,5
201,Chemotherapy Only,Centra Southside Community Hospital,490090.0,77,800 Oak Street,Farmville,VA,23901,(434) 392-8811,Yes,Yes,-80.5057679398,37.0890607299,5
202,Chemo and Radiology,Chesapeake Regional Medical Center,490120.0,302,736 Battlefield Blvd. N,Chesapeake,VA,23320,(757) 312-8121,No,No,-78.0121576125,38.455369998,5
203,Chemotherapy Only,Children's Hospital of The King's Daughters,493301.0,202,601 Children's Lane,Norfolk,VA,23507,(757) 668-7000,No,Yes,-79.432559367,36.5945577373,5
204,Chemo and Radiology,Chippenham Hospital,490112.0,793,7101 Jahnke Road,Richmond,VA,23225,(804) 438-0000,No,Yes,-79.4015262925,36.5525357782,5
205,Chemo and Radiology,Clinch Valley Medical Center,490060.0,175,6801 Gov George C. Peery Hwy,Richlands,VA,24641,(276) 596-6000,Yes,Yes,-77.3791444662,38.8843146474,5
206,Chemo and Radiology,Culpeper Medical Center,490019.0,70,501 Sunset Lane,Culpeper,VA,22701,(540) 829-4100,Yes,Yes,-77.2241825225,38.8625247585,5
207,Cancer Treatment Center,EMILY COURIC CLINICAL CANCER CENTER,,,1240 LEE STREET,CHARLOTTESVILLE,VA,22903,4349249202,No,No,-77.2396260115,38.8643549471,5
208,Chemotherapy Only,Fauquier Hospital,490023.0,97,500 Hospital Drive,Warrenton,VA,20186,(540) 316-5000,No,No,-77.3007316782,38.8498877403,5
209,Cancer Treatment Center,GORDON L MORRIS MD ROBERT S PRITCHARD,,,459 LOCUST AVE,CHARLOTTESVILLE,VA,22902,4349828390,No,No,-77.2260267927,38.8582952502,5
210,Chemo and Radiology,Henrico Doctors' Hospital,490118.0,766,1602 Skipwith Road,Richmond,VA,23229,(804) 289-4500,No,No,-78.4035796665,37.303519434,5
211,Radiology Only,Inova Alexandria Hospital,490040.0,303,4320 Seminary Road,Alexandria,VA,22304,(703) 504-3000,No,No,-78.9947484243,38.0771128964,5
212,Radiology Only,Inova Fair Oaks Hospital,490101.0,174,3600 Joseph Siewick Dr.,Fairfax,VA,22033,(703) 391-3600,No,No,-78.9868255979,38.0942190616,5
213,Chemo and Radiology,Inova Fairfax Medical Campus,490063.0,1014,3300 Gallows Road,Falls Church,VA,22042,(703) 776-4001,No,No,-77.4823572941,38.3098297325,5
214,Radiology Only,Inova Loudoun Hospital,490043.0,311,44045 Riverside Parkway,Leesburg,VA,20176,(703) 858-6000,No,Yes,-76.5402718617,37.4200228171,5
215,Chemotherapy Only,Inova Mount Vernon Hospital,490122.0,218,2501 Parkers Lane,Alexandria,VA,22306,(703) 664-7000,No,No,-76.3923523093,37.0567201204,5
216,Chemo and Radiology,Johnston Memorial Hospital,490053.0,100,16000 Memorial Drive,Abingdon,VA,24211,(276) 258-1000,Yes,Yes,-78.853900013,38.4061874628,5
217,Chemotherapy Only,LewisGale Hospital Montgomery,490110.0,88,3700 S Main St,Blacksburg,VA,24060,(540) 951-1111,No,No,-77.4767041195,39.0795488698,5
218,Chemo and Radiology,LewisGale Hospital Pulaski,490116.0,60,2400 Lee Highway,Pulaski,VA,24301,(540) 994-8100,Yes,Yes,-82.0599410972,36.9033807874,5
219,Chemo and Radiology,LewisGale Medical Center,490048.0,378,1900 Electric Road,Salem,VA,24153,(540) 776-4000,No,No,-82.078577756,36.8989449585,5
220,Cancer Treatment Center,LMG CANCER & INFUSION CENTER,,,"1860 TOWN CENTER DRIVE, #120",RESTON,VA,20190,7034230033,No,No,-77.4753206863,39.0748071852,5
221,Chemo and Radiology,Lonesome Pine Hospital,490114.0,109,1990 Holton Ave East,Big Stone Gap,VA,24219,(276) 523-3111,Yes,Yes,-79.4442749207,37.7777349939,5
222,Chemo and Radiology,Mary Washington Hospital,490022.0,414,1001 Sam Perry Blvd,Fredericksburg,VA,22401,(540) 741-1100,No,No,-79.1700726092,37.4161241424,5
223,Cancer Treatment Center,MASSEY CANCER CENTER RADIOIATION ONCOLOGY,,,8222 MEADOWBRIDGE ROAD,MECHANICSVILLE,VA,23116,8045591835,No,No,-79.1705663871,37.4136267125,5
224,Cancer Treatment Center,PEARSON CANCER CENTER,,,1701 THOMSON DR,LYNCHBURG,VA,24501,4342007530,No,Yes,-77.4871421873,38.7686308049,5
225,Cancer Treatment Center,PENINSULA DERMATOLOGY SKIN CANCER SURGERY CENTER,,,11844 ROCK LANDING DRIVE - SUITE B,NEWPORT NEWS,VA,23606,7578730161,No,No,-81.5049081489,36.8467870573,5
226,Cancer Treatment Center,PENINSULA DERMATOLOGY SKIN CANCER SURGERY CENTER,,,1601 COMMONWEALTH AVE,WILLIAMSBURG,VA,23185,7572599466,No,Yes,-81.4887204308,36.8517779777,5
227,Chemotherapy Only,Prince William Medical Center,490045.0,136,8700 Sudley Road,Manassas,VA,20110,(703) 369-8000,No,Yes,-77.386140757,37.6263082435,5
228,Chemo and Radiology,Reston Hospital Center,490107.0,231,1850 Town Center Parkway,Reston,VA,20190,(703) 689-9000,No,No,-76.4672660718,37.0947382958,5
229,Chemotherapy Only,Richmond Community Hospital,490094.0,96,1500 North 28th St,Richmond,VA,23223,(804) 225-1700,No,Yes,-76.4844639769,37.0652388581,5
230,Cancer Treatment Center,RIVERSIDE CANCER SPECIALIST OF TIDEWATER,,,5839 HARBOUR VIEW BOULEVARD - SUITE 100A,SUFFOLK,VA,23435,7573974200,No,Yes,-76.5133058543,37.1429504161,5
231,Cancer Treatment Center,RIVERSIDE CANCER SPECIALISTS OF TIDEWATER,,,110 WIMBLEDON SQUARE - SUITE E-1,CHESAPEAKE,VA,23320,7574601453,No,No,-76.3016478793,36.8613920206,5
232,Cancer Treatment Center,RIVERSIDE CANCER SPECIALISTS OF TIDEWATER,,,1200 FIRST COLONIAL ROAD - SUITE 204A,VIRGINIA BEACH,VA,23454,7573638212,No,No,-76.3047158235,36.8623069892,5
233,Chemo and Radiology,Riverside Regional Medical Center,490052.0,433,500 J Clyde Morris Blvd,Newport News,VA,23601,(757) 594-2000,No,No,-82.6022882865,36.9397482727,5
234,Chemo and Radiology,Riverside Shore Memorial Hospital & Cancer Institute,490037.0,52,20480 Market STREET,Onancock,VA,23417,(757) 302-2100,Yes,Yes,-75.7213381285,37.6999687858,5
235,Radiology Only,Riverside Walter Reed Hospital,490130.0,67,7547 Medical Dr.,Gloucester,VA,23061,(804) 693-8800,No,No,-77.3610719095,37.1840653276,5
236,Chemotherapy Only,Russell County Hospital,490002.0,47,58 Carroll Street,Lebanon,VA,24266,(276) 883-8000,Yes,Yes,-76.3480386959,36.8360399068,5
237,Radiology Only,Saint Mary's Hospital,490059.0,377,5801 Bremo Road,Richmond,VA,23226,(804) 285-2011,No,No,-80.7578850262,37.0693522352,5
238,Cancer Treatment Center,SAVILLE CANCER SCREENING AND,,,"8081 INNOVATION PARK DRIVE, PAVILION A 1ST FLOOR",FAIRFAX,VA,22031,5714723518,No,No,-77.365471319,38.9613595926,5
239,Radiology Only,Sentara CarePlex Hospital,490093.0,169,3000 Coliseum Dr,Hampton,VA,23666,(757) 736-1000,No,No,-77.3644460446,38.9626273555,5
240,Chemotherapy Only,Sentara Halifax Regional Hospital,490013.0,44,2204 Wilbourn Ave,South Boston,VA,24592,(434) 517-3100,Yes,Yes,-77.3654433234,38.9618561785,5
241,Chemo and Radiology,Sentara Martha Jefferson Hospital,490077.0,150,500 Martha Jefferson Dr.,Charlottesville,VA,22911,(434) 654-7000,No,No,-81.8208075789,37.0939800269,5
242,Chemo and Radiology,Sentara Norfolk General Hospital,490007.0,528,600 Gresham Drive,Norfolk,VA,23507,(757) 388-3000,No,Yes,-81.8208075789,37.0939800269,5
243,Chemotherapy Only,Sentara Northern Virginia Medical Center,490113.0,147,2300 Opitz Blvd.,Woodbridge,VA,22191,(703) 523-1000,No,Yes,-81.804455,37.094316,5
244,Radiology Only,Sentara Obici Hospital,490044.0,206,2800 Goodwin Blvd,Suffolk,VA,23434,(757) 934-4000,Yes,Yes,-77.525626187,37.5158409204,5
245,Chemo and Radiology,Sentara RMH Medical Center,490004.0,238,2010 Health Campus Dr,Harrisonburg,VA,22801,(540) 689-1000,No,No,-77.5377380371,37.6036719501,5
246,Radiology Only,Sentara Virginia Beach General Hospital,490057.0,271,1060 First Colonial Road,Virginia Beach,VA,23454,(757) 395-8000,No,No,-77.4064213584,37.5401328493,5
247,Chemotherapy Only,Sentara Williamsburg Regional Medical Center,490066.0,129,100 Sentara Circle,Williamsburg,VA,23188,(757) 984-6000,No,Yes,-77.5130949903,37.5845232828,5
248,Cancer Treatment Center,SKIN CANCER SURGERY CENTER,,,1900 N BEAUREGARD STREET - SUITE 110,ALEXANDRIA,VA,22311,3015643131,No,No,-77.4296031042,37.5396217208,5
249,Cancer Treatment Center,SKIN CANCER SURGERY CENTER LTD,,,8505 ARLINGTON BOULEVARD - SUITE 200,FAIRFAX,VA,22031,3015643131,No,No,-79.9424438644,37.2520008624,5
250,Chemotherapy Only,Smyth County Community Hospital,490038.0,143,245 Medical Park Dr.,Marion,VA,24354,(276) 378-1000,Yes,No,-79.8906954191,36.9938134761,5
251,Cancer Treatment Center,SOLSTAS LAB - VIRGINIA REGIONAL CANCER CENTER,,,671 HIGHWAY 58 EAST,NORTON,VA,24273,2766795874,Yes,Yes,-80.0333640445,37.2634458063,5
252,Chemo and Radiology,Sovah Health - Danville,490075.0,252,1425 S Main St,Danville,VA,24541,(434) 799-2100,No,Yes,-78.9129682066,36.712958448,5
253,Chemo and Radiology,Stafford Hospital,490140.0,88,101 Hospital Center Blvd,Stafford,VA,22554,(540) 741-9000,No,No,-78.117194091,36.731911817,5
254,Cancer Treatment Center,TPMG CANCER CARE,,,12720 MCMANUS BOULEVARD - SUITE 307,NEWPORT NEWS,VA,23602,7572346970,No,No,-77.4070569581,38.414604109,5
255,Cancer Treatment Center,UVA CANCER CENTER - PANTOPS,,,590 PETER JEFFERSON PARKWAY - SUITE 175,CHARLOTTESVILLE,VA,22911,4349248507,No,No,-76.4419124073,36.871639945,5
256,Chemo and Radiology,UVA University Hospital,490009.0,691,1215 Lee St,Charlottesville,VA,22903,(434) 924-3627,No,No,-76.5831293709,36.7740076626,5
257,Chemo and Radiology,VCU Community Memorial Hospital & TREATMENT CTR,490098.0,205,750 LOMBARDY STREET,South Hill,VA,23970,(434) 447-3151,Yes,Yes,-76.4429729695,36.8728217934,5
258,Chemotherapy Only,VCU Health Tappahannock Hospital,490084.0,57,618 Hospital Road,Tappahannock,VA,22560,(804) 443-3311,Yes,Yes,-76.5896457138,36.7705822302,5
259,Chemo and Radiology,VCU Medical Center,490032.0,878,1250 East Marshall St,Richmond,VA,23219,(804) 828-9000,No,Yes,-76.8784092352,37.900556446,5
260,Chemo and Radiology,VHC Health,490050.0,440,1701 N George Mason Dr,Arlington,VA,22205,(703) 558-5000,No,No,-76.032539418,36.8691615839,5
261,Cancer Treatment Center,"VIRGINIA CANCER CARE, INC",,,19415 DEERFIELD AVENUE - SUITE 107,LANSDOWNE,VA,20176,7037296030,No,Yes,-76.0316184145,36.8691091132,5
262,Cancer Treatment Center,"VIRGINIA CANCER SPECIALIST, PC",,,1860 TOWN CENTER DRIVE - SUITE 460,RESTON,VA,20190,7032083996,No,No,-76.0281908028,36.8638993832,5
263,Cancer Treatment Center,"VIRGINIA CANCER SPECIALISTS, PC",,,1701 NORTH GEORGE MASON DRIVE - SUITE G101,ARLINGTON,VA,22205,7032083153,No,No,-77.8096643266,38.7119444128,5
264,Cancer Treatment Center,"VIRGINIA CANCER SPECIALISTS, PC",,,10301 DEMOCRACY LANE,FAIRFAX,VA,22030,7039344450,No,No,-76.6675354711,37.2525519306,5
265,Cancer Treatment Center,VIRGINIA DERMATOLOGY & SKIN CANCER CENTER,,,1035 CHAMPIONS WAY - SUITE 100,SUFFOLK,VA,23435,7579670790,No,Yes,-76.7419054158,37.3351523594,5
266,Cancer Treatment Center,VIRGINIA DERMATOLOGY AND SKIN CANCER CENTER,,,1069 CENTERBROOKE LANE,SUFFOLK,VA,23434,7579251860,Yes,Yes,-78.1922871425,39.193460736,5
267,Radiology Only,Winchester Medical Center,490005.0,495,1840 Amherst Srreet,Winchester,VA,22601,(540) 536-8000,No,Yes,-77.2867551061,38.635445339,5
268,Radiology Only,Wilson Medical Center,340126.0,124,1705 Tarboro Street Southwest,Wilson,NC,27893,(252) 399-8040,Yes,Yes,-82.2136576577,35.2404501733,5
269,Chemotherapy Only,Wilkes Medical Center,340064.0,87,1370 West D Street,North Wilkesboro,NC,28659,(336) 651-8100,No,Yes,-82.4886116583,35.3907244957,5
270,Chemo and Radiology,Watauga Medical Center,340051.0,121,336 Deerfield Road,Boone,NC,28607,(828) 262-4100,Yes,Yes,-82.0246915063,35.6598859726,5
271,Chemotherapy Only,WakeMed Raleigh Campus,340069.0,701,3000 New Bern Avenue,Raleigh,NC,27610,(919) 350-8000,Yes,No,-83.2026333004,35.3869761924,5
272,Cancer Treatment Center,WAKEMED CANCER CARE WAVERLY & MEDICAL,,,"210 ASHEVILLE AVE, SUITE 440",CARY,NC,27518,9193508260,Yes,Yes,-82.0674454395,35.8931161839,5
273,Cancer Treatment Center,WAKE SKIN CANCER CENTER,,,11640 NORTH PARK DR - SUITE 200,WAKE FOREST,NC,27587,9194364124,Yes,Yes,-83.3583750964,35.1943728818,5
274,Cancer Treatment Center,VIDANT EDGECOMBE HOSPITAL -,,,105 HOSPITAL DRIVE,TARBORO,NC,27886,2526417714,No,No,-80.6035554971,35.4353037735,5
275,Chemo and Radiology,UNC Rex Healthcare,340114.0,609,4420 Lake Boone Trail,Raleigh,NC,27607,(919) 784-3100,Yes,Yes,-81.5360795248,35.3016232724,5
276,Cancer Treatment Center,UNC REX CANCER CARE OF CARY,,,"150 PARKWAY OFFICE COURT, SUITE 200",CARY,NC,27518,9849742175,No,Yes,-80.8381606922,35.2046045033,5
277,Chemo and Radiology,UNC Medical Center,340061.0,932,101 Manning Drive,Chapel Hill,NC,27514,(984) 974-1000,No,No,-80.8699732837,35.0907907053,5
278,Chemotherapy Only,UNC Health Wayne,340010.0,245,2700 Wayne Memorial Drive,Goldsboro,NC,27534,(919) 736-1110,Yes,No,-80.1950922796,35.362658112,5
279,Chemo and Radiology,UNC Health Southeastern,340050.0,264,300 West 27th Street,Lumberton,NC,28359,(910) 671-5000,No,Yes,-80.5227210934,34.9751370377,5
280,Chemo and Radiology,UNC Health Pardee,340017.0,160,800 North Justice Street,Hendersonville,NC,28791,(828) 696-1000,No,No,-80.7485464964,35.3071927537,5
281,Chemo and Radiology,UNC Health Lenoir,340027.0,199,100 Airport Road,Kinston,NC,28501,(252) 522-7000,No,No,-80.2712447469,36.0895763084,5
282,Chemotherapy Only,UNC Health Johnston,340090.0,199,509 Bright Leaf Boulevard,Smithfield,NC,27577,(919) 934-8171,No,Yes,-78.0212108302,34.2179629138,5
283,Chemo and Radiology,UNC Health Blue Ridge,340075.0,156,2201 South Sterling Street,Morganton,NC,28655,(828) 580-5000,No,Yes,-81.5359098751,35.9101708168,5
284,Cancer Treatment Center,UNC DERMATOLOGY AND SKIN CANCER CENTER,,,3921 SUNSET RIDGE ROAD #202,RALEIGH,NC,27607,9849740900,Yes,Yes,-78.6331533727,35.3072390218,5
285,Chemo and Radiology,Sentara Albemarle Medical Center,340109.0,98,1144 North Road Street,Elizabeth City,NC,27909,(252) 335-0531,No,No,-78.9315061266,35.0330462237,5
286,Chemo and Radiology,Scotland Memorial Hospital,340008.0,104,500 Lauchwood Drive,Laurinburg,NC,28352,(910) 291-7000,Yes,Yes,-77.0670708721,35.1123895287,5
287,Chemotherapy Only,Rutherford Regional Health System,340013.0,133,288 South Ridgecrest Avenue,Rutherfordton,NC,28139,(828) 286-5000,No,Yes,-80.8388993893,35.2046954889,5
288,Cancer Treatment Center,REX CANCER CENTER OF WAKEFIELD,,,"11200 GOVERNOR MANLY WAY, SUITE 102",RALEIGH,NC,27614,9197846811,No,No,-81.1385901464,35.2750155913,5
289,Chemo and Radiology,Randolph Health,340123.0,145,364 White Oak Street,Asheboro,NC,27204,(336) 625-5151,Yes,Yes,-76.7550922449,34.7249171951,5
290,Cancer Treatment Center,PARDEE CANCER CENTER,,,"805 6TH AVENUE WEST, SUITE 100",HENDERSONVILLE,NC,28739,8286928045,No,No,-81.2651110353,35.7141168023,5
291,Chemotherapy Only,Onslow Memorial Hospital,340042.0,162,317 Western Boulevard,Jacksonville,NC,28546,(910) 577-2345,Yes,Yes,-78.6943163717,34.3385475428,5
292,Chemotherapy Only,Novant Health Thomasville Medical Center,340085.0,108,207 Old Lexington Road,Thomasville,NC,27360,(336) 472-2000,Yes,No,-80.6138996876,36.4956323786,5
293,Chemo and Radiology,Novant Health Rowan Medical Center,340015.0,211,612 Mocksville Avenue,Salisbury,NC,28144,(704) 210-5000,No,No,-79.5036679131,36.0628887993,5
294,Chemo and Radiology,Novant Health Presbyterian Medical Center,340053.0,645,200 Hawthorne Lane,Charlotte,NC,28204,(704) 384-4000,No,No,-79.8255044128,36.083731114,5
295,Chemotherapy Only,Novant Health New Hanover Regional Medical Center,340141.0,800,2131 South 17th Street,Wilmington,NC,28401,(910) 667-7000,No,No,-79.7887749131,36.0908269817,5
296,Radiology Only,Novant Health Huntersville Medical Center,340183.0,135,10030 Gilead Road,Huntersville,NC,28078,(704) 316-4000,No,No,-78.936541974,36.0106038284,5
